Location,Year,Riders,Riders (Thousands)
East River Bridges,1985,3072,3
East River Bridges,1986,4023,4
East River Bridges,1987,3523,4
East River Bridges,1988,2327,2
East River Bridges,1989,1997,2
East River Bridges,1990,2232,2
East River Bridges,1991,2604,3
East River Bridges,1992,3214,3
East River Bridges,1993,3335,3
East River Bridges,1994,3550,4
East River Bridges,1995,4926,5
East River Bridges,1996,5534,6
East River Bridges,1997,5161,5
East River Bridges,1998,4116,4
East River Bridges,1999,4369,4
East River Bridges,2000,3040,3
East River Bridges,2001,3674,4
East River Bridges,2002,4647,5
East River Bridges,2003,6609,7
East River Bridges,2004,6406,6
East River Bridges,2005,7033,7
East River Bridges,2006,9734,10
East River Bridges,2007,9251,9
East River Bridges,2008,12206,12
East River Bridges,2009,15634,16
East River Bridges,2010,16790,17
East River Bridges,2011,18941,19
East River Bridges,2012,19073,19
East River Bridges,2013,20935,21
East River Bridges,2014,21524,22
East River Bridges,2015,22126,22
East River Bridges,2016,22626,23
East River Bridges,2017,22408,22
East River Bridges,2018,21033,21
East River Bridges,2019,16984,17
Midtown,1985,5612,6
Midtown,1986,5851,6
Midtown,1987,7013,7
Midtown,1988,10413,10
Midtown,1989,9931,10
Midtown,1990,8367,8
Midtown,1991,8846,9
Midtown,1992,9443,9
Midtown,1993,10546,11
Midtown,1994,9610,10
Midtown,1995,10362,10
Midtown,1996,11086,11
Midtown,1997,11111,11
Midtown,1998,10456,10
Midtown,1999,9899,10
Midtown,2000,10326,10
Midtown,2001,9982,10
Midtown,2002,10182,10
Midtown,2003,12699,13
Midtown,2004,12277,12
Midtown,2005,11239,11
Midtown,2006,15597,16
Midtown,2007,13205,13
Midtown,2008,13621,14
Midtown,2009,17329,17
Midtown,2010,19925,20
Midtown,2011,20841,21
Midtown,2012,18931,19
Midtown,2013,21105,21
Midtown,2014,24102,24
Midtown,2015,23233,23
Midtown,2016,34787,35
Midtown,2017,36833,37
Midtown,2018,31979,32
Midtown,2019,0,0
Midtown (estimated),1985,0,0
Midtown (estimated),1986,0,0
Midtown (estimated),1987,0,0
Midtown (estimated),1988,0,0
Midtown (estimated),1989,0,0
Midtown (estimated),1990,0,0
Midtown (estimated),1991,0,0
Midtown (estimated),1992,0,0
Midtown (estimated),1993,0,0
Midtown (estimated),1994,0,0
Midtown (estimated),1995,0,0
Midtown (estimated),1996,0,0
Midtown (estimated),1997,0,0
Midtown (estimated),1998,0,0
Midtown (estimated),1999,0,0
Midtown (estimated),2000,0,0
Midtown (estimated),2001,0,0
Midtown (estimated),2002,0,0
Midtown (estimated),2003,0,0
Midtown (estimated),2004,0,0
Midtown (estimated),2005,0,0
Midtown (estimated),2006,0,0
Midtown (estimated),2007,0,0
Midtown (estimated),2008,0,0
Midtown (estimated),2009,0,0
Midtown (estimated),2010,0,0
Midtown (estimated),2011,0,0
Midtown (estimated),2012,0,0
Midtown (estimated),2013,0,0
Midtown (estimated),2014,0,0
Midtown (estimated),2015,0,0
Midtown (estimated),2016,0,0
Midtown (estimated),2017,0,0
Midtown (estimated),2018,0,0
Midtown (estimated),2019,36502,37
Uptown,1985,0,0
Uptown,1986,0,0
Uptown,1987,0,0
Uptown,1988,0,0
Uptown,1989,0,0
Uptown,1990,0,0
Uptown,1991,0,0
Uptown,1992,0,0
Uptown,1993,0,0
Uptown,1994,0,0
Uptown,1995,0,0
Uptown,1996,0,0
Uptown,1997,0,0
Uptown,1998,0,0
Uptown,1999,0,0
Uptown,2000,0,0
Uptown,2001,0,0
Uptown,2002,0,0
Uptown,2003,0,0
Uptown,2004,0,0
Uptown,2005,0,0
Uptown,2006,0,0
Uptown,2007,11945,12
Uptown,2008,0,0
Uptown,2009,0,0
Uptown,2010,0,0
Uptown,2011,19378,19
Uptown,2012,0,0
Uptown,2013,0,0
Uptown,2014,0,0
Uptown,2015,19368,19
Uptown,2016,21658,22
Uptown,2017,25713,26
Uptown,2018,27484,27
Uptown,2019,0,0
Uptown (estimated),1985,0,0
Uptown (estimated),1986,0,0
Uptown (estimated),1987,0,0
Uptown (estimated),1988,0,0
Uptown (estimated),1989,0,0
Uptown (estimated),1990,0,0
Uptown (estimated),1991,0,0
Uptown (estimated),1992,0,0
Uptown (estimated),1993,0,0
Uptown (estimated),1994,0,0
Uptown (estimated),1995,0,0
Uptown (estimated),1996,0,0
Uptown (estimated),1997,0,0
Uptown (estimated),1998,0,0
Uptown (estimated),1999,0,0
Uptown (estimated),2000,0,0
Uptown (estimated),2001,0,0
Uptown (estimated),2002,0,0
Uptown (estimated),2003,0,0
Uptown (estimated),2004,0,0
Uptown (estimated),2005,0,0
Uptown (estimated),2006,0,0
Uptown (estimated),2007,0,0
Uptown (estimated),2008,13341,13
Uptown (estimated),2009,15848,16
Uptown (estimated),2010,18360,18
Uptown (estimated),2011,0,0
Uptown (estimated),2012,20353,20
Uptown (estimated),2013,21363,21
Uptown (estimated),2014,22697,23
Uptown (estimated),2015,0,0
Uptown (estimated),2016,0,0
Uptown (estimated),2017,0,0
Uptown (estimated),2018,0,0
Uptown (estimated),2019,30913,31
,1985,0,0
,1986,0,0
,1987,0,0
,1988,0,0
,1989,0,0
,1990,0,0
,1991,0,0
,1992,0,0
,1993,0,0
,1994,0,0
,1995,0,0
,1996,0,0
,1997,0,0
,1998,0,0
,1999,0,0
,2000,0,0
,2001,0,0
,2002,0,0
,2003,0,0
,2004,0,0
,2005,0,0
,2006,0,0
,2007,0,0
,2008,0,0
,2009,0,0
,2010,0,0
,2011,0,0
,2012,0,0
,2013,0,0
,2014,0,0
,2015,0,0
,2016,0,0
,2017,0,0
,2018,0,0
,2019,0,0